Tipo;Colonia;Habitaciones;Garages;Suites;Area;Valor;Condominio;Impuesto
Departamento;Centro Histórico;1;0;0;15;2800.0;1365.0;70.0
Departamento;Del Valle;1;0;0;48;2800.0;805.0;0.0
Departamento;Narvarte;1;0;0;48;2625.0;2702.0;87.5
Departamento;Centro Histórico;1;0;0;27;2625.0;1298.5;66.5
Departamento;Centro Histórico;1;1;0;37;3850.0;1890.0;3150.0
Departamento;San Miguel Chapultepec;1;0;0;37;3500.0;997.5;84.0
Departamento;Narvarte;1;0;0;65;4200.0;1120.0;0.0
Departamento;Roma;1;0;0;35;3500.0;1025.5;301.0
Departamento;Nueva Santa María;1;1;0;63;2450.0;2187.5;126.0
Departamento;Napoles;1;0;0;31;3990.0;1470.0;84.0
Departamento;Roma;1;0;0;17;3850.0;1155.0;52.5
Departamento;Villa de Guadalupe;1;1;0;45;2450.0;1246.0;441.0
Departamento;San Rafael;1;0;1;30;3850.0;2030.0;0.0
Departamento;Lomas de Padierna;1;1;0;47;4200.0;1015.0;171.5
Departamento;Condesa;1;0;0;30;4200.0;2275.0;189.0
Departamento;Centro Histórico;1;0;1;38;4025.0;1400.0;87.5
Departamento;Condesa;1;0;0;21;2800.0;1092.0;52.5
Departamento;Centro Histórico;1;0;0;35;3500.0;1050.0;0.0
Departamento;San Miguel Chapultepec;1;1;1;50;3675.0;1575.0;0.0
Departamento;Santa Cruz Atoyac;1;0;0;50;3850.0;1953.0;70.0
Departamento;Del Valle;1;0;0;55;2625.0;420.0;0.0
Departamento;Roma;1;0;0;35;3500.0;1025.5;301.0
Departamento;Condesa;1;1;0;49;4025.0;1995.0;98.0
Departamento;Condesa;1;0;0;30;4200.0;1750.0;700.0
Departamento;Condesa;1;0;0;35;3850.0;1400.0;192.5
Departamento;Narvarte;1;0;0;40;3850.0;1225.0;175.0
Departamento;San Miguel Chapultepec;1;1;0;52;4200.0;1638.0;91.0
Departamento;La Condesa;1;0;0;34;3850.0;962.5;49.0
Departamento;Del Valle;1;0;1;45;2800.0;420.0;108.5
Departamento;Nueva Santa María;1;0;0;37;2100.0;1449.0;56.0
Departamento;Del Valle Centro;1;1;0;44;1750.0;1211.0;0.0
Departamento;Santa Fe;1;1;1;45;3185.0;2240.0;42.0
Departamento;Centro Histórico;1;0;0;30;3150.0;1120.0;0.0
Departamento;Centro Histórico;1;0;0;21;3150.0;1011.5;70.0
Departamento;Nativitas;1;0;0;35;1400.0;455.0;0.0
Departamento;Roma Norte;1;0;0;33;2800.0;962.5;84.0
Departamento;Ciudad de los Deportes;1;1;1;70;2100.0;1683.5;59.5
Departamento;Condesa;1;0;0;41;4200.0;1505.0;0.0
Departamento;Centro Histórico;1;0;0;38;3150.0;780.5;52.5
Departamento;Juárez;1;0;0;31;4200.0;1295.0;0.0
Departamento;Nueva Santa María;1;1;1;51;2975.0;1781.5;59.5
Departamento;Condesa;1;0;0;45;2590.0;630.0;87.5
Departamento;La Florida;1;1;1;64;3150.0;1645.0;52.5
Departamento;La Condesa;1;0;1;48;3850.0;1750.0;0.0
Departamento;Centro Histórico;1;0;0;40;3500.0;1785.0;73.5
Departamento;Centro Histórico;1;0;0;55;2975.0;1225.0;122.5
Departamento;Centro Histórico;1;0;0;28;3150.0;1561.0;84.0
Departamento;Juárez;1;0;0;27;3500.0;1256.5;101.5
